,snapshot_id,Text,stress,stress_level,sleep,sleep_level,anxiety,anxiety_level
0,9252537403715547191,Family reunion,2.3333333333333335,Medium,7.666666666666667,Medium,1.8333333333333333,Low
1,9252537403715547191,"Oh Zurich, you are so beautiful. I should visit more often...",2.142857142857143,Medium,7.0,Medium,1.5714285714285714,Low
2,9252537403715547191,From Poland with love! Happy 4th of July to all my American friends and happy 1st anniversary of moving to US for me 😍,1.0,Low,7.5,Medium,1.0,Low
3,9252537403715547191,Spontaneously available for activities in DC due to rain ⛈✈️⛈,1.8333333333333333,Low,7.666666666666667,Medium,1.3333333333333333,Low
4,9288569235052076487,"It's been a long two weeks, but Anthony is finally HOME!  We are so grateful for our family and friends for their prayers, support, love, and friendship! 💚💚💚💚",2.4285714285714284,Medium,8.0,High,2.0,Low
5,9288569235052076487,Thank you! Your prayers worked! Anthony came home today! We're so grateful for all of your support!!,2.4285714285714284,Medium,8.0,High,2.0,Low
6,9288569235052076487,Please say a prayer for Anthony. Last Wednesday he was admitted to Memorial Hospital with afib. He also has fluid around his heart. This dreaded kidney disease has taken it's toll in Anthony. I pray God will make him well.,2.4285714285714284,Medium,8.0,High,2.0,Low
7,9288569235052076487,"Just talked with doc. Surgery went well, but because of the blood thinners he is on she had a hard time clotting. He's doing ok, just tired and hungry. Thank you for your prayers and support!",1.2857142857142858,Low,9.0,High,1.1428571428571428,Low
8,9288569235052076487,Back at the hospital for more surgery. Anthony got a MRSA infection in his foot where his big toe was removed. Please say a prayer the doc doesn't have to remove too much of the bone. This guy needs a reprieve.,1.2857142857142858,Low,9.0,High,1.1428571428571428,Low
9,9290546826834334269,Septicflesh... in the flesh! :D . I have waited a very long time to see this INCREDIBLE band. Words cannot describe how happy I was to see them last night. Such an amazing band and show!!! . Bonus: Autographed set list! <3,1.0,Low,11.0,High,1.5,Low
10,9297296870223784228,12 years and going strong!  Happy Anniversary Alexis Hewes,2.6666666666666665,Medium,9.5,High,2.3333333333333335,Medium
11,9381952670851740549,"Arrived in Orlando, Florida. Too bad I won’t have any time to go see the ocean. 😞. Time to get my asset management on at the IAITAM spring conference!",1.8571428571428572,Low,8.7,High,1.4285714285714286,Low
12,9381952670851740549,Another amazingly beautiful day in florida.,1.8571428571428572,Low,8.7,High,1.4285714285714286,Low
13,9381952670851740549,Whew!  Just finished presenting at a session on risk management.  It went really well!   I didn’t die and no one booed. :),1.8571428571428572,Low,8.7,High,1.4285714285714286,Low
14,9381952670851740549,"4 years ago today, our flight home was cancelled and we got stuck in Hawaii and extra day. It was one of our favorite days of the whole vacation. :)",1.7142857142857142,Low,9.333333333333334,High,1.2857142857142858,Low
15,9381952670851740549,Look at how skinny I was!  And dirty. Ugh. Moving dirt was a good workout. :),1.7142857142857142,Low,9.333333333333334,High,1.2857142857142858,Low
16,9385868890389771155,"My hunny bunny 🍯🐰, meri jaan, my not so little sister got out ❤️❤️ another Chawla Comp Sci Yellowjacket (with highest honors 🤓) added to the working world!!! Couldn’t be prouder of her or more thankful for the support of our family for putting two girls through the best school in the nation 🐝 #gojackets #shegotout @ Georgia Institute of Technology",2.0,Low,5.0,Medium,1.5,Low
17,9436641396735494745,"Day one of our major upgrade project: 20,328 steps. Not bad. https://t.co/YDCtjzfJ0c",2.2857142857142856,Medium,6.5,Medium,1.0,Low
18,9476057976865553913,"Ethan and the rest of these Olathe HS French class students are off for their 16 day 'tour de France'""!  Normandy, Paris, and a few points between.  (He''s 4th from left in the back row)""",1.8,Low,8.5,High,1.6,Low
19,9480035759041961272,So happy for my best friend’s graduation today. Seattle and Boeing will be better because of him.,1.8,Low,7.666666666666667,Medium,2.2,Medium
20,9480035759041961272,They grow up so fast. 😭 Star passed her first day of school with flying colors.,2.0,Low,8.0,High,2.0,Low
21,9480781256631966260,We had lots of shade.   Amazing series of bike paths.  From Margie Dailey Park to Blue Chip Casino   Michigan City.  78 miles nice and slow. Lots of stops.,2.1666666666666665,Medium,8.5,High,1.8333333333333333,Low
22,9480781256631966260,Second SAG stop on Le Tour de Shore #2018,2.1666666666666665,Medium,8.5,High,1.8333333333333333,Low
23,9480781256631966260,Hello Puget Sound!  Wedding bells this weekend for Mackenzie and Maks!,2.4285714285714284,Medium,7.5,Medium,1.5714285714285714,Low
24,9485960433259318193,"Went to a beautiful wedding this weekend, loved the barn scene!  So happy for you Connor and Emily Ochoa! 💓 (p.s.-yes my legs are white as a ghost 🙄)",2.5,Medium,8.0,High,1.5,Low
25,9503545953274412325,Group work with shitty team mates are the worst...These people are supposed professionals - I can't imagine them actually being in the work force,2.0,Low,9.0,High,1.5,Low
26,9503545953274412325,Hogwarts here I come - I want all the butter beer,2.142857142857143,Medium,9.666666666666666,High,1.2857142857142858,Low
27,9503545953274412325,Wizarding World of Harry Potter here I come - it's been 20 years since I've gone to Orlando...crazy,2.142857142857143,Medium,9.666666666666666,High,1.2857142857142858,Low
28,9503545953274412325,The beach life,2.142857142857143,Medium,9.666666666666666,High,1.2857142857142858,Low
29,9503545953274412325,Didn't get this in Portland cause I was cashless so now I have to make do in Orlando,2.142857142857143,Medium,9.666666666666666,High,1.2857142857142858,Low
30,9503545953274412325,Single rider lines are the best - 5 min wait into Escape from Gringotts,2.142857142857143,Medium,9.666666666666666,High,1.2857142857142858,Low
31,9503545953274412325,"The day I got my Hogwarts letter in the mail, discovered butterbeer, and learned that wand magic takes a special touch.",2.8,Medium,7.0,Medium,1.6,Low
32,9503545953274412325,Let's go explore Peru or the Patagonia Wensi Chen,2.8,Medium,7.0,Medium,1.6,Low
33,9547248024793501451,This is the life. #weareinhawaii #gotmauied @drewbert222,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
34,9547248024793501451,Jungle hiked!! #waihe’eridgetrail #weareinhawaii #wegotmauied @drewbert222,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
35,9547248024793501451,Chill out! #ululanishawaiianshaveice #weareinhawaii #wegotmauied @drewbert222,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
36,9547248024793501451,Wouldn’t even know how to filter a sunset like last night’s. #weareinhawaii #wegotmauied,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
37,9547248024793501451,Haleakala National Park #weareinhawaii #wegotmauied @drewbert222,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
38,9547248024793501451,What better way to spend World Oceans Day than kayaking and snorkeling. Made friends with about a dozen sea turtles and an eel. #weareinhawaii #wegotmauied,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
39,9547248024793501451,Wow Wow did not disappoint! The strawberry pineapple lemonade was delish! #wowowlemonade #weareinhawaii #wegotmauied,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
40,9547248024793501451,Lava field hikes are the best when they end in quiet coral beaches. #laperousebay #hoapilitrail #weareinhawaii #wegotmauied @drewbert222,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
41,9547248024793501451,Ali’i Kula Lavender farm #weareinhawaii #wegotmauied @drewbert222,1.5714285714285714,Low,8.0,High,1.5714285714285714,Low
42,9547248024793501451,Spent an amazing and exhausting day on the Road to Hana. This is just a small taste at our adventure.  Major props to @drewbert222 for driving that hair raising road. #weareinhawaii #wegotmauied,1.8,Low,9.0,High,1.6,Low
43,9547248024793501451,You can’t tell it but these are our sad faces because we’re leaving Maui. Best vacation ever! See you in the a.m. Colorado! #weareinhawaii #wegotmauied @drewbert222,1.8,Low,9.0,High,1.6,Low
44,9547248024793501451,Mom and Dad went to Maui and all I got was this shirt #siriusthedogstar #padfoot #partyanimal @drewbert222,1.4285714285714286,Low,7.5,Medium,1.2857142857142858,Low
45,9618772807146534288,Our breakfast view from the Mamoni Valley Preserve in Panama - Experience Mamoni,2.5,Medium,7.666666666666667,Medium,1.75,Low
46,9622025573216492542,And we are off to Disneyland! And to see cousins! Woohoo! She’s a wee bit excited :),1.7142857142857142,Low,7.5,Medium,1.5714285714285714,Low
47,9622025573216492542,McKenna has always been scared of the characters that she sees in the parks. Not anymore! She loved Mickey and Minnie and some princesses. More to come tomorrow 🙂 #mommydaughtertrip2018,1.7142857142857142,Low,7.5,Medium,1.5714285714285714,Low
48,9622025573216492542,When in Iowa 🙂 🌽 🥩,2.1666666666666665,Medium,7.75,Medium,1.6666666666666667,Low
49,9622025573216492542,3 years ago and this years visit to Disneyland 🙂 Just a little bit of a difference!,2.1666666666666665,Medium,7.75,Medium,1.6666666666666667,Low
50,9622025573216492542,McKenna got to meet her teacher today and play in the classroom a little bit. She’s also enjoying her last day of wearing flip flops since she can’t wear them to school 🙂 First day tomorrow!,3.0,Medium,8.0,High,2.5,Medium
51,9622025573216492542,Had some great meetings with clients today in Richmond and got to take in some great views of the VA Capitol!,3.0,Medium,7.5,Medium,3.0,High
52,9633120381526577840,Photos by the very talented ð¸ John Jack Photography,2.0,Low,7.0,Medium,1.75,Low
53,9633120381526577840,#EgoAlley,2.0,Low,7.0,Medium,1.75,Low
54,9633120381526577840,Serving you COLOR on this rainy Sunday afternoon.  Happy Pride month!  #LiveColorfully #SpreadLove #LoveMural,1.5,Low,8.0,High,1.5,Low
55,9633120381526577840,"120 burpees later (yay penalties) and after completely losing my shoe (👠) in thick AF mud, I can finally say I completed my first Spartan Race! Thank you Mike Villacreses for pushing me! #SpartanDC #Cinderella",2.0,Low,7.5,Medium,2.0,Low
56,9633120381526577840,"DIRTY THIRTY. Happy birthday, Josh!",2.0,Low,7.5,Medium,2.0,Low
57,9633120381526577840,"Love, equality, unity... be proud, be loud! #kiehlspride",1.6,Low,6.25,Medium,1.8,Low
58,9677001521580130990,"For Deloitte Impact Day 2018, I am cycling to make an impact that matters. For many people in South Africa accessing Education and Economic opportunity is tough because they lack transport which is why I''m raising funds for bicycles.. Please consider any donation however big or small, it all adds up.",2.0,Low,7.0,Medium,2.0,Low
59,9677001521580130990,Graduations in the rain are obviously the dream...,2.0,Low,9.0,High,2.0,Low
60,9677001521580130990,Central Park - with the obligatory visit to the Balto Statue...,2.0,Low,,Medium,2.0,Low
61,9677001521580130990,"Sometimes when you go to New York City, you get to meet Idina Menzel at a stage door...",2.0,Low,,Medium,2.0,Low
62,9677001521580130990,Gotta visit where we first meet Serena Van der Woodsen and Lonely Boy in Gossip Girl...,2.0,Low,,Medium,2.0,Low
63,9677001521580130990,Obviously important to take an artsy photo at a NYC bagel shop,2.0,Low,,Medium,2.0,Low
64,9677001521580130990,"Because after southwest cancelling your flight last minute causing you to go on an impromptu 12 hour road trip to New York City, you really need to make sure your first stop is for pizza and beer",2.0,Low,,Medium,2.0,Low
65,9767765376628075157,My beautiful best friend & new momma to be 💚 I am soooo unbelievably excited for this amazing journey you & Jose are about to embark on. And I’m so blessed to be able to be a part of Miss Cora’s life. It was a wonderful shower and Cora is so loved and spoiled already. Cannot wait to meet her 💖💖,2.0,Low,8.0,High,1.0,Low
66,9767765376628075157,When you notice a diamond missing out of your wedding ring 😞😞😞,1.3333333333333333,Low,7.333333333333333,Medium,1.0,Low
67,9767765376628075157,Looks like it’s about time to move Miss Hayden to a big girl bed 😞😞,1.3333333333333333,Low,7.333333333333333,Medium,1.0,Low
68,9767765376628075157,Once every few months just wonât cut it ðð»ââï¸,1.3333333333333333,Low,7.333333333333333,Medium,1.0,Low
69,9767765376628075157,💚Happy Father’s Day! I couldn’t of asked for a better daddy for our babies. We got so lucky to have you in our lives. We love you more then you will ever know. 😘😍💚,1.0,Low,9.666666666666666,High,1.0,Low
70,9767765376628075157,No work for the next 6 daayyss. Yaasss! 😁😁,1.0,Low,9.666666666666666,High,1.0,Low
71,9767765376628075157,Road trip with my husband. Mommy & Daddy day today!,1.0,Low,9.666666666666666,High,1.0,Low
72,9767765376628075157,Finallyyyy got it back! And it’s so shinyy. 💍💍,1.2857142857142858,Low,8.6,High,1.0,Low
73,9767765376628075157,Today we lost the most amazing grandpa. Words cannot express how much you will be missed. Always the life of the party & so full of life even until his last days here. He was always so positive about life no matter the situation. He is greatly loved by everyone that he ever came in contact with. This is definitely one of the hardest days but he is in a better place now with his wife & not suffering anymore. Love you to the moon & back Paw Paw 💚💚,3.0,Medium,7.0,Medium,2.0,Low
74,9767765376628075157,"My husband, my rock, my everything. Thank you so much for being there for me when I needed you most. I don’t know what I’d do without you. And you know I’m always here for you no matter what. Love you more then you could ever know 😘😘😍😍",3.0,Medium,7.0,Medium,2.0,Low
75,9767765376628075157,Thank you everyone for the love & prayers today. It means so much to our family and we truly appreciate it. Its going to be a tough next few weeks but we have the best support system to help us all through it. 💚 love you all! . *Celebration of Life arrangements are in the works*,3.0,Medium,7.0,Medium,2.0,Low
76,9767765376628075157,"Today, today we celebrate you. Not for a life lost but for the life that you lived. A life that was full of love, laughs and even heartache. But no matter what you still always had a smile on your face. And oh boy was that smile contagious. 😊 You had the best stories to tell. Stories that I will tell my kids one day. And everyone always loved to sit and listen to you tell them, no matter how many times we heard them. As I sit here crying I know this is not what you would want, so I cry happy tears thinking of all the beautiful memories with you. I never thought this day would come, I thought my Paw Paw would live forever. But this is not a goodbye, it’s I Miss You, until we meet again 💚",3.0,Medium,7.0,Medium,2.0,Low
77,9767765376628075157,Couldn’t of asked for a more perfect and beautiful service for Paw Paw. Thank you to everyone who showed up 💚 we love you all so much.,3.0,Medium,7.0,Medium,2.0,Low
78,9767765376628075157,Also got to see my other Grandpa today who I haven’t seen in a while. Talking with him made me smile more then I have this whole week 💚💚,3.0,Medium,7.0,Medium,2.0,Low
79,9767765376628075157,Finally took Hayden’s crib down today and out of her room. Even though she’s had a big girl bed for about a month now it’s still sad seeing it go knowing my last baby is growing up way too quick. Excuse me while I go cry a little 😢😞,1.8571428571428572,Low,7.8,Medium,1.1428571428571428,Low
80,9767765376628075157,Always a good time with Paw Paw. Missing you tons every day 😞😢 Doesn’t get any easier.,1.8571428571428572,Low,7.8,Medium,1.1428571428571428,Low
81,9767765376628075157,"Finallyyyyy getting rid of toys and decluttering the rooms! I feel so much better now that it’s done! I’m one room down, 2 to go 😒",1.8571428571428572,Low,7.8,Medium,1.1428571428571428,Low
82,9767765376628075157,Room 2 DONE! And no more toys for my kids. Eveeerrr..... 5 years worth of toys gone!,1.8571428571428572,Low,7.8,Medium,1.1428571428571428,Low
83,9767765376628075157,All my friends are having babies and I’m dying with baby fever 😩 I need lots of baby cuddles! So sad knowing my babies are growing up and I won’t be having anymore 😞,2.0,Low,9.5,High,1.0,Low
84,9767765376628075157,5 months old. Giving mommy kisses 💖😍,2.4,Medium,6.0,Medium,1.0,Low
85,9767765376628075157,Sooooo perfect!!! HUGE congrats to our best friends!!! Miss Cora Rose is absolutely perfect. You guys did amazing! I can’t wait to watch you guys become the best parents to her. You’re going to do great! Already so in love with her and her chubby cheeks 😍,2.4,Medium,6.0,Medium,1.0,Low
86,9767765376628075157,Miss you more everyday. 💚 never gets easier. 😢💔  Best man I know.,1.5,Low,10.0,High,1.0,Low
87,9777858391923748976,"Conquered my first 14er this morning - Mt. Bierstadt - 14,065 ft above sea level :) @ Mount Bierstadt",2.4,Medium,10.5,High,2.8,Medium
88,9814759411577815257,Cinnamon rolls. From scratch after 3 hours of work.  Chad William DeVoe says they are like cinnabon,3.7142857142857144,Medium,7.25,Medium,3.2857142857142856,High
